,time,Accr_x,Accr_y,Accr_z,Latitude,Longitude
0,5.938,0.9896240234375,0.071533203125,0.2532958984375,13.35353198,74.79086125
1,5.96,0.956298828125,0.06103515625,0.2110595703125,13.35353198,74.79086125
2,5.961,0.9700927734375,0.0419921875,0.20703125,13.35353198,74.79086125
3,5.963,0.9310302734375,0.0572509765625,0.2203369140625,13.35353198,74.79086125
4,5.964,0.8465576171875,0.1263427734375,0.2303466796875,13.35353198,74.79086125
5,5.984,0.9249267578125,-0.0164794921875,0.0906982421875,13.35353198,74.79086125
6,5.986,0.9580078125,0.030029296875,0.028564453125,13.35353198,74.79086125
7,6.006,0.98291015625,0.100341796875,0.0989990234375,13.35353198,74.79086125
8,6.007,1.01025390625,0.040771484375,0.1966552734375,13.35353198,74.79086125
9,6.008,1.02001953125,0.02392578125,0.26025390625,13.35353198,74.79086125
10,6.029,0.9508056640625,0.0457763671875,0.2796630859375,13.35353198,74.79086125
11,6.032,0.87451171875,0.0941162109375,0.2620849609375,13.35353198,74.79086125
12,6.051,0.87841796875,0.0743408203125,0.197021484375,13.35353198,74.79086125
13,6.073,0.927490234375,0.090576171875,0.08447265625,13.35353198,74.79086125
14,6.075,0.9923095703125,0.0966796875,0.0167236328125,13.35353198,74.79086125
15,6.077,1.0147705078125,0.1058349609375,0.0361328125,13.35353198,74.79086125
16,6.096,0.9945068359375,0.0760498046875,0.119140625,13.35353198,74.79086125
17,6.119,1.09423828125,-0.0042724609375,0.5728759765625,13.35353198,74.79086125
18,6.12,1.1180419921875,-0.017578125,0.5286865234375,13.35353198,74.79086125
19,6.123,1.0838623046875,-0.013427734375,0.4482421875,13.35353198,74.79086125
20,6.141,1.0252685546875,-0.0018310546875,0.3726806640625,13.35353198,74.79086125
21,6.143,0.961669921875,0.0303955078125,0.3070068359375,13.35353198,74.79086125
22,6.144,0.8916015625,0.0428466796875,0.25341796875,13.35353198,74.79086125
23,6.164,0.7994384765625,0.066162109375,0.245361328125,13.35353198,74.79086125
24,6.185,0.7376708984375,0.0811767578125,0.2891845703125,13.35353198,74.79086125
25,6.187,0.765380859375,0.0794677734375,0.328369140625,13.35353198,74.79086125
26,6.188,0.8743896484375,0.07177734375,0.369140625,13.35353198,74.79086125
27,6.208,0.966552734375,0.0760498046875,0.3836669921875,13.35353198,74.79086125
28,6.231,0.8485107421875,0.0804443359375,0.3507080078125,13.35353198,74.79086125
29,6.232,0.806884765625,0.0955810546875,0.3934326171875,13.35353198,74.79086125
30,6.254,0.7559814453125,0.087158203125,0.453125,13.35353198,74.79086125
31,6.256,0.748779296875,0.090576171875,0.5126953125,13.35353198,74.79086125
32,6.258,0.7567138671875,0.0863037109375,0.5513916015625,13.35353198,74.79086125
33,6.276,0.77001953125,0.0592041015625,0.5555419921875,13.35353198,74.79086125
34,6.277,0.7432861328125,0.0443115234375,0.54150390625,13.35353198,74.79086125
35,6.298,0.729248046875,0.04931640625,0.5240478515625,13.35353198,74.79086125
36,6.299,0.742919921875,0.031005859375,0.490234375,13.35353198,74.79086125
37,6.301,0.788330078125,0.0162353515625,0.4393310546875,13.35353198,74.79086125
38,6.321,0.871337890625,-0.00732421875,0.3804931640625,13.35353198,74.79086125
39,6.323,0.917724609375,-0.000244140625,0.3568115234375,13.35353198,74.79086125
40,6.325,0.9349365234375,0.00146484375,0.3466796875,13.35353198,74.79086125
41,6.343,0.929443359375,0.0054931640625,0.3421630859375,13.35353198,74.79086125
42,6.345,0.8978271484375,0.01171875,0.345458984375,13.35353198,74.79086125
43,6.366,0.863037109375,0.0220947265625,0.3616943359375,13.35353198,74.79086125
44,6.367,0.864990234375,0.03955078125,0.394287109375,13.35353198,74.79086125
45,6.369,0.8839111328125,0.0457763671875,0.4342041015625,13.35353198,74.79086125
46,6.389,0.89013671875,0.0423583984375,0.4881591796875,13.35353198,74.79086125
47,6.39,0.890869140625,0.0501708984375,0.5286865234375,13.35353198,74.79086125
48,6.392,0.9063720703125,0.0208740234375,0.50537109375,13.35353198,74.79086125
49,6.411,0.91162109375,0.0220947265625,0.4422607421875,13.35353198,74.79086125
50,6.412,0.9083251953125,0.0333251953125,0.4058837890625,13.35353198,74.79086125
51,6.433,0.904541015625,0.055908203125,0.353515625,13.35353198,74.79086125
