,time,Accr_x,Accr_y,Accr_z,Rot_x,Rot_z,Magnitude_Accelerometer,Magnitude_Gyroscope,Latitude,Longitude
0,5.938,0.9896240234375,0.071533203125,0.2532958984375,-10.68115234375,2.3193359375,1.0240271085665693,10.93006562566644,13.35353198,74.79086125
1,5.96,0.956298828125,0.06103515625,0.2110595703125,-13.36669921875,1.15966796875,0.9812129642397757,13.416910143631306,13.35353198,74.79086125
2,5.961,0.9700927734375,0.0419921875,0.20703125,-11.71875,0.1220703125,0.9928269090648472,11.719385765631825,13.35353198,74.79086125
3,5.963,0.9310302734375,0.0572509765625,0.2203369140625,-9.6435546875,-0.1220703125,0.9584588671784781,9.644327253468594,13.35353198,74.79086125
4,5.964,0.8465576171875,0.1263427734375,0.2303466796875,-9.033203125,-4.94384765625,0.8863869857241322,10.297591385645402,13.35353198,74.79086125
5,5.984,0.9249267578125,-0.0164794921875,0.0906982421875,-23.49853515625,-11.16943359375,0.9295091457948133,26.018020702864934,13.35353198,74.79086125
6,5.986,0.9580078125,0.030029296875,0.028564453125,-32.65380859375,4.82177734375,0.9589038822865263,33.00788924529956,13.35353198,74.79086125
7,6.006,0.98291015625,0.100341796875,0.0989990234375,-17.88330078125,6.89697265625,0.9929660911134286,19.167177117502646,13.35353198,74.79086125
8,6.007,1.01025390625,0.040771484375,0.1966552734375,10.55908203125,-1.28173828125,1.0300235752652958,10.636590918348244,13.35353198,74.79086125
9,6.008,1.02001953125,0.02392578125,0.26025390625,21.05712890625,2.86865234375,1.0529693171494963,21.251631561923233,13.35353198,74.79086125
10,6.029,0.9508056640625,0.0457763671875,0.2796630859375,11.53564453125,10.8642578125,0.9921382606483342,15.846235911655024,13.35353198,74.79086125
11,6.032,0.87451171875,0.0941162109375,0.2620849609375,-1.8310546875,10.7421875,0.9177783687480993,10.897125930894438,13.35353198,74.79086125
12,6.051,0.87841796875,0.0743408203125,0.197021484375,-13.916015625,5.2490234375,0.9033062330643687,14.873054088608313,13.35353198,74.79086125
13,6.073,0.927490234375,0.090576171875,0.08447265625,-24.10888671875,5.31005859375,0.9357231467835199,24.686740187529384,13.35353198,74.79086125
14,6.075,0.9923095703125,0.0966796875,0.0167236328125,-25.08544921875,6.65283203125,0.9971483967812029,25.952647967837713,13.35353198,74.79086125
15,6.077,1.0147705078125,0.1058349609375,0.0361328125,-11.3525390625,4.150390625,1.0209141994417756,12.087426752856716,13.35353198,74.79086125
16,6.096,0.9945068359375,0.0760498046875,0.119140625,9.521484375,0.48828125,1.0045008253081802,9.53399618640949,13.35353198,74.79086125
17,6.119,1.09423828125,-0.0042724609375,0.5728759765625,21.17919921875,-8.056640625,1.235136654220032,22.65983092849329,13.35353198,74.79086125
18,6.12,1.1180419921875,-0.017578125,0.5286865234375,6.16455078125,-5.67626953125,1.236865524961198,8.379840220792225,13.35353198,74.79086125
19,6.123,1.0838623046875,-0.013427734375,0.4482421875,-9.8876953125,-2.8076171875,1.1729701011652982,10.27858126710004,13.35353198,74.79086125
20,6.141,1.0252685546875,-0.0018310546875,0.3726806640625,-20.01953125,-0.91552734375,1.0909032218113255,20.04045463024431,13.35353198,74.79086125
21,6.143,0.961669921875,0.0303955078125,0.3070068359375,-24.23095703125,1.708984375,1.0099436235981707,24.291148722204923,13.35353198,74.79086125
22,6.144,0.8916015625,0.0428466796875,0.25341796875,-21.8505859375,3.72314453125,0.9279061650285877,22.16551174714109,13.35353198,74.79086125
23,6.164,0.7994384765625,0.066162109375,0.245361328125,-15.9912109375,3.2958984375,0.8388572488002856,16.327332107785846,13.35353198,74.79086125
24,6.185,0.7376708984375,0.0811767578125,0.2891845703125,-9.09423828125,-0.244140625,0.7964770782121497,9.09751474639796,13.35353198,74.79086125
25,6.187,0.765380859375,0.0794677734375,0.328369140625,-2.62451171875,-4.82177734375,0.8366297146453312,5.489772173283413,13.35353198,74.79086125
26,6.188,0.8743896484375,0.07177734375,0.369140625,1.0986328125,-8.6669921875,0.951826688739001,8.736346355020942,13.35353198,74.79086125
27,6.208,0.966552734375,0.0760498046875,0.3836669921875,1.0986328125,-9.46044921875,1.0426927265570616,9.524027166973493,13.35353198,74.79086125
28,6.231,0.8485107421875,0.0804443359375,0.3507080078125,-6.16455078125,0.67138671875,0.921649541602349,6.201003665595101,13.35353198,74.79086125
29,6.232,0.806884765625,0.0955810546875,0.3934326171875,3.173828125,0.3662109375,0.9027668510085491,3.194885822339453,13.35353198,74.79086125
30,6.254,0.7559814453125,0.087158203125,0.453125,11.41357421875,-0.6103515625,0.8856787022694829,11.429882128734349,13.35353198,74.79086125
31,6.256,0.748779296875,0.090576171875,0.5126953125,15.56396484375,-2.38037109375,0.9119928518358144,15.74494103518481,13.35353198,74.79086125
32,6.258,0.7567138671875,0.0863037109375,0.5513916015625,15.380859375,-3.5400390625,0.9402642743341383,15.78298804655035,13.35353198,74.79086125
33,6.276,0.77001953125,0.0592041015625,0.5555419921875,12.14599609375,-4.21142578125,0.9513475228495363,12.855400741336982,13.35353198,74.79086125
34,6.277,0.7432861328125,0.0443115234375,0.54150390625,4.7607421875,-5.43212890625,0.9206868451459065,7.223066566906269,13.35353198,74.79086125
35,6.298,0.729248046875,0.04931640625,0.5240478515625,-2.685546875,-8.30078125,0.8993669843415919,8.724398625588691,13.35353198,74.79086125
36,6.299,0.742919921875,0.031005859375,0.490234375,-5.9814453125,-10.3759765625,0.8906296177794555,11.976584557042026,13.35353198,74.79086125
